step,target_x,target_y,target_z,actual_x,actual_y,actual_z,error_x,error_y,error_z,error_mag
0,0.0,0.0,0.6,9.76363505821249e-07,4.270681439370523e-07,0.5999999857519696,9.76363505821249e-07,4.270681439370523e-07,-1.4248030422159275e-08,1.0657747892666207e-06
1,-0.0047261286888808166,-0.0024024757944543394,0.5915210957268525,-0.004725543592372831,-0.002402055293449798,0.5915211505344288,5.85096507985626e-07,4.2050100454134667e-07,5.4807576255200274e-08,7.226083924867085e-07
2,-0.009452257377761633,-0.004804951588908679,0.583042191453705,-0.009451472253930232,-0.004804488828324002,0.5830422614507367,7.851238314014047e-07,4.6276058467652204e-07,6.99970317263876e-08,9.140384968999298e-07
3,-0.01417838606664245,-0.007207427383363018,0.5745632871805575,-0.014178015409820527,-0.007207184641582984,0.5745633495210218,3.706568219227768e-07,2.427417800342224e-07,6.234046434627771e-08,4.47433106628226e-07
4,-0.011170694828755308,-0.01585367463378756,0.5705388366712254,-0.01117049869138283,-0.0158535112247671,0.5705389007320312,1.9613737247715923e-07,1.6340902045733352e-07,6.406080577114892e-08,2.6320365439164786e-07
5,-0.008163003590868165,-0.0244999218842121,0.5665143861618934,-0.008162875140958408,-0.02449973588690195,0.5665144309747984,1.2844990975729997e-07,1.8599731015089827e-07,4.4812904942403975e-08,2.304399599665928e-07
6,-0.005155312352981023,-0.033146169134636645,0.5624899356525613,-0.005155227724533167,-0.03314576142576087,0.5624898791930624,8.462844785627616e-08,4.0770887577840087e-07,-5.645949896493363e-08,4.2020968170476665e-07
7,-0.0023181700897364865,-0.04136694636226222,0.5575533937909072,-0.002318135344265383,-0.04136680297877638,0.5575534322510041,3.474547110356857e-08,1.4338348584136407e-07,3.846009688501795e-08,1.5246393287146484e-07
8,0.0005189721735080503,-0.049587723589887805,0.5526168519292529,0.0005189559586669864,-0.04958764225622353,0.5526169144082327,-1.6214841063919537e-08,8.133366427576227e-08,6.247897976763284e-08,1.0383500820077424e-07
9,0.0033561144367525875,-0.05780850081751339,0.5476803100675988,0.0033560280330056113,-0.05780841361590018,0.5476803698082875,-8.640374697622619e-08,8.720161320807662e-08,5.974068872927063e-08,1.3652354642137862e-07
10,0.011799898075102839,-0.0630934197830188,0.5485590303853164,0.010169625993033664,-0.06393852632660106,0.5483931706594649,-0.0016302720820691747,-0.0008451065435822608,-0.00016585972585148046,0.0018437737334714489
11,0.020243681713453088,-0.06837833874852421,0.5494377507030341,0.017281425257979266,-0.07003155020697917,0.5491658824114102,-0.0029622564554738218,-0.0016532114584549562,-0.00027186829162395565,0.003403231376552823
12,0.02868746535180334,-0.07366325771402962,0.5503164710207518,0.02438930927727731,-0.07622577395244522,0.5499574618529283,-0.004298156074526029,-0.0025625162384155936,-0.00035900916782349857,0.005016923628650323
13,0.034847244586152466,-0.08087335921622042,0.5471428995134138,0.030970088903473622,-0.08419093362304804,0.5478434081102893,-0.003877155682678844,-0.003317574406827617,0.0007005085968755376,0.005150664852896469
14,0.04100702382050159,-0.08808346071841121,0.5439693280060759,0.035924924893320914,-0.08985521611285664,0.5441488299205804,-0.005082098927180673,-0.0017717553944454345,0.000179501914504554,0.0053850782371947245
15,0.047166803054850714,-0.09529356222060201,0.5407957564987379,0.040185598541491875,-0.09517294109142234,0.5423129918176481,-0.006981204513358839,0.00012062112917966827,0.0015172353189102372,0.007145192014711365
16,0.05462803870011718,-0.10124314846470386,0.5437844662822062,0.04662710212606492,-0.10109123378254145,0.5457698780584129,-0.008000936574052264,0.00015191468216241288,0.0019854117762067025,0.008244993878333927
