repeat,step,target_x,target_y,target_z,actual_x,actual_y,actual_z,error_mm
0,0,0.0,0.0,0.6,0.15293258384165262,0.0016662912312823874,0.5119469669145534,176.47801098861666
0,1,0.008333333333333333,0.0,0.6,0.1387232914533242,0.001097016521121455,0.4731398016055741,181.92376029659698
0,2,0.016666666666666666,0.0,0.6,0.13646821527064915,0.0008473280592746523,0.452725326756679,189.8498311605238
0,3,0.025,0.0,0.6,0.14130118722733212,0.000707877648583227,0.44386134243228637,194.69398457142955
0,4,0.03333333333333333,0.0,0.6,0.1358080267972368,0.0005458713721275853,0.4496463703402269,181.95487003085157
0,5,0.041666666666666664,0.0,0.6,0.11621440090280083,0.00034794850915686147,0.46891704938693557,150.79862628463627
0,6,0.05,0.0,0.6,0.07567656197883535,9.208336509351593e-05,0.4949496613114198,108.14281285866622
0,7,0.058333333333333334,0.0,0.6,0.008628092968830742,-0.00023256259340961898,0.5115260341159066,101.48057767037274
0,8,0.06666666666666667,0.0,0.6,-0.04658079263393963,-0.0004648251008005614,0.505548631916974,147.46614537978564
0,9,0.075,0.0,0.6,-0.07445372985823484,-0.0005717773491844937,0.4954752821669395,182.37916804272407
0,10,0.08333333333333333,0.0,0.6,-0.0789653023169471,-0.0005893092761031562,0.49364313354923794,194.04375140826
0,11,0.09166666666666666,0.0,0.6,-0.06021101608078094,-0.0005271894060296719,0.5032709028183693,180.06561772580994
0,12,0.1,0.0,0.6,-0.024320646439007425,-0.00040754691793162476,0.5142712305742858,151.01394350440052
0,13,0.10833333333333334,0.0,0.6,-0.003406671689672791,-0.00034425676155469434,0.5184742920651769,138.31987669721724
0,14,0.11666666666666667,0.0,0.6,0.010221800102688472,-0.00030879244958086603,0.5210353920595601,132.5368412094819
0,15,0.125,0.0,0.6,0.021320924548343785,-0.00028362824119635414,0.523074027821741,129.1008765541881
0,16,0.13333333333333333,0.0,0.6,0.03140181596502621,-0.00026307241332170004,0.5247897691175452,126.67549987859653
