step,target_x,target_y,target_z,actual_x,actual_y,actual_z,error_x,error_y,error_z,error_mag
0,0.0007734857171770296,-0.00298839111048758,0.5990218793878751,0.0007737868057420118,-0.0029874343690108854,0.5990223111935072,3.0108856498213977e-07,9.567414766945871e-07,4.3180563213951473e-07,1.0920003118763975e-06
1,0.025429944962993053,-0.004781456402194615,0.6041416506748473,0.025430237604131944,-0.004780427996768151,0.6041421613411129,2.926411388909367e-07,1.028405426464242e-06,5.106662656073624e-07,1.18492050036357e-06
2,0.047043997393015576,-0.002376556943561227,0.6052002912368545,0.04704384790676217,-0.0023759080949688908,0.6052008948553671,-1.4948625340349686e-07,6.488485923363853e-07,6.036185126179205e-07,8.987246210650924e-07
3,0.06601335134029114,0.00336471255477099,0.6029318259464768,0.06601312398955424,0.0033652845723596866,0.6029324821273514,-2.2735073690327567e-07,5.720175886964572e-07,6.561808746363695e-07,8.99703184159711e-07
4,0.08273571513786632,0.01158075738216044,0.5980702796762946,0.08273555959328474,0.011581692972785234,0.5980709108853152,-1.5554458157596152e-07,9.355906247943829e-07,6.312090206073151e-07,1.1392755425079706e-06
5,0.09760879711878762,0.021409982827965524,0.5913496772988882,0.09760865936974181,0.021411162311747257,0.5913502832311586,-1.37749045808766e-07,1.179483781733881e-06,6.059322703588776e-07,1.3331581703821746e-06
6,0.11103030561610157,0.03199079418154466,0.5835040436868381,0.11186776047534917,0.03289166313829088,0.5855400205431651,0.000837454859247605,0.000900868956746223,0.0020359768563270597,0.002378675530207067
7,0.12339794896285476,0.04246159673225623,0.5752674037127244,0.1233975999909825,0.04246234383591621,0.5752681112187232,-3.489718722604618e-07,7.47103659978765e-07,7.075059987871057e-07,1.0865127632487244e-06
8,0.1351094354920937,0.05196079576945866,0.5673737822491276,0.1351089949236922,0.05196170859040101,0.5673744675393142,-4.405684015107436e-07,9.128209423475697e-07,6.852901865972427e-07,1.2235053040524675e-06
9,0.14656247353686497,0.05962679658251035,0.560557204168628,0.1465620001794709,0.05962744187929581,0.5605579699538201,-4.7335739405962585e-07,6.452967854647662e-07,7.657851921472059e-07,1.1076561399432648e-06
10,0.15815477143021506,0.06459800446076969,0.5555516943438057,0.1581541117322277,0.06459896143217819,0.5555523895862845,-6.596979873485509e-07,9.569714085055914e-07,6.952424788098099e-07,1.3543846630667793e-06
11,0.17028403750519053,0.0660128246935951,0.5530912776472413,0.17028335590393318,0.06601360945660328,0.5530920027674336,-6.816012573518382e-07,7.84763008188083e-07,7.251201923352824e-07,1.2673722998299959e-06
12,0.18334798009483794,0.06300966257034499,0.5539099789515152,0.18334731955271188,0.06301030690183365,0.553910712524639,-6.605421260519329e-07,6.443314886639406e-07,7.335731238011789e-07,1.1788165656863316e-06
13,0.19774430753220384,0.054726923380377754,0.5587418231292074,0.19774356307637064,0.05472781614769812,0.5587425240498121,-7.44455833201485e-07,8.927673203693032e-07,7.009206046681982e-07,1.3574010718853642e-06
14,0.21387072815033475,0.04030301241305178,0.5683208350528985,0.21387021033012457,0.040304245465072504,0.5683211762829871,-5.178202101829843e-07,1.2330520207243234e-06,3.4123008851860703e-07,1.3802148489263197e-06
15,0.23212495028227723,0.018876334957725508,0.5833810395951687,0.23212467155098337,0.01887778999160821,0.583381307221923,-2.7873129385125317e-07,1.4550338827030995e-06,2.676267543133548e-07,1.5054696322444871e-06
16,0.2529046822610778,-0.01041470369624268,0.6046564616285984,0.25290458911622404,-0.010413155279624314,0.6046567039099244,-9.314485377442949e-08,1.5484166183670628e-06,2.4228132600168095e-07,1.57002236568435e-06
