segment,step_in_segment,target_x,target_y,target_z,actual_x,actual_y,actual_z,error_x,error_y,error_z,error_mag
0,0,0.0,0.0,0.6,1.1347717348277992e-06,2.628213626403706e-07,0.6000000950800609,1.1347717348277992e-06,2.628213626403706e-07,9.508006093561505e-08,1.16868395078043e-06
0,1,0.009534326410516778,-0.0009774134748714,0.6028532933247148,0.009535108578926539,-0.0009770876969817821,0.6028534468506637,7.821684097613496e-07,3.25777889617759e-07,1.5352594884276982e-07,8.610974808698908e-07
0,2,0.019068652821033556,-0.0019548269497428,0.6057065866494296,0.01906923387462377,-0.00195461254070178,0.605706739605665,5.810535902150971e-07,2.144090410199223e-07,1.5295623545519277e-07,6.379577741022999e-07
0,3,0.028602979231550335,-0.0029322404246142,0.6085598799741444,0.02860387278398236,-0.002931726636419475,0.6085600189813403,8.935524320255461e-07,5.13788194725362e-07,1.3900719586512622e-07,1.0400659874835827e-06
0,4,0.03859463847585416,-0.0027999082593329005,0.6081735721386688,0.038595336021803636,-0.00279950893423935,0.6081737105611539,6.97545949474021e-07,3.9932509355048926e-07,1.3842248502982102e-07,8.155928312145414e-07
0,5,0.04858629772015799,-0.0026675760940516003,0.6077872643031934,0.04858684875437979,-0.0026672739986586223,0.607787402878815,5.510342218004172e-07,3.0209539297800653e-07,1.3857562164432125e-07,6.435087745849606e-07
0,6,0.058577956964461816,-0.0025352439287703006,0.6074009564677179,0.05857839916936815,-0.0025350138443870525,0.6074010989703394,4.422049063312894e-07,2.300843832481539e-07,1.4250262159176685e-07,5.18450576003802e-07
0,7,0.06856961620876564,-0.002402911763489001,0.6070146486322423,0.06856998402581438,-0.0024027322426459835,0.6070147943240531,3.678170487353416e-07,1.7952084301747773e-07,1.4569181083778915e-07,4.3444587483744934e-07
0,8,0.07856127545306947,-0.002270579598207701,0.6066283407967668,0.07856158025608445,-0.002270352117617546,0.6066284614870769,3.0480301498048146e-07,2.2748059015469113e-07,1.2069031019024123e-07,3.9902186382720286e-07
0,9,0.0885529346973733,-0.002138247432926401,0.6062420329612912,0.08972455570736694,-0.0005211248048787871,0.6112296759831739,0.0011716210099936425,0.001617122628047614,0.004987643021882704,0.005372556588714294
0,10,0.09535202876480985,-0.008013481813335138,0.610629964232108,0.09555844451739726,-0.007756811312167655,0.6114826601271871,0.00020641575258741052,0.000256670501167483,0.0008526958950790808,0.0009140992826660071
0,11,0.10215112283224638,-0.013888716193743874,0.615017895502925,0.10215143953808449,-0.013887537712833055,0.6150176882247728,3.167058381103871e-07,1.1784809108190963e-06,-2.0727815219778734e-07,1.2377738393732268e-06
0,12,0.10895021689968293,-0.019763950574152613,0.6194058267737418,0.10895051053662773,-0.019762809460283057,0.6194056188862732,2.936369448008902e-07,1.1411138695557876e-06,-2.078874685729204e-07,1.1964868232597637e-06
