timestamp,cycle,target_x,target_y,target_z,current_x,current_y,current_z,error_mm,cpu_percent,mem_percent,collisions
2026-07-21T11:55:28.790837,1,0.25,0.0,0.6,0.24957500000066457,1.0533742203393816e-05,0.600019275668199,0.5377594818605778,12.3,21.5,0
2026-07-21T11:55:30.032164,2,0.25,0.0,0.6,0.24957323572230808,9.762203637704695e-06,0.6000209841077876,0.457952344533151,6.2,21.3,0
2026-07-21T11:55:31.279555,3,0.25,0.0,0.6,0.24957256634742156,9.321195919351012e-06,0.6000216494766916,0.4993277545879,10.3,21.4,0
2026-07-21T11:55:32.526424,4,0.25,0.0,0.6,0.24957232530550405,9.13918808107328e-06,0.6000218876571308,0.6163144336294536,18.4,21.4,0
2026-07-21T11:55:33.766163,5,0.25,0.0,0.6,0.24957219921489623,9.06575395907386e-06,0.6000220092592093,0.519604880517719,8.4,21.4,0
2026-07-21T11:55:35.006273,6,0.25,0.0,0.6,0.24957217947499932,9.033954107501452e-06,0.600022032131817,0.6634824695409683,15.6,21.4,0
2026-07-21T11:55:36.244419,7,0.25,0.0,0.6,0.24957211759198653,9.073777581308791e-06,0.6000220769890822,0.50980001785537,8.3,21.4,0
2026-07-21T11:55:37.488988,8,0.25,0.0,0.6,0.24957220210219072,8.984800431341983e-06,0.6000220246891487,0.5093038168956635,9.8,21.4,0
2026-07-21T11:55:38.744154,9,0.25,0.0,0.6,0.2495721998583278,8.98304677663919e-06,0.6000220269861118,0.49928688815111333,6.8,21.3,0
2026-07-21T11:55:39.985489,10,0.25,0.0,0.6,0.2495721654706732,8.9869587491013e-06,0.6000220409438817,0.14142394916876982,8.5,21.3,0
2026-07-21T11:55:41.227879,11,0.25,0.0,0.6,0.24957208791482174,9.088169734937114e-06,0.6000220993687172,0.6161483168874968,10.0,21.3,0
2026-07-21T11:55:42.471425,12,0.25,0.0,0.6,0.24957211178396815,9.070657213861565e-06,0.6000220826084682,0.31617490819267957,8.8,21.4,0
2026-07-21T11:55:43.719909,13,0.25,0.0,0.6,0.24957206653423034,9.066373381157108e-06,0.6000221072768892,0.4470491070796939,11.0,21.3,0
2026-07-21T11:55:44.965219,14,0.25,0.0,0.6,0.24957205154333353,9.090575474626874e-06,0.6000221153420132,0.6160573954033701,15.7,21.3,0
2026-07-21T11:55:46.206562,15,0.25,0.0,0.6,0.24957205312344927,9.0918375418907e-06,0.600022113762201,0.4123956644673234,5.5,21.4,0
2026-07-21T11:55:47.440031,16,0.25,0.0,0.6,0.2495720537075164,9.09231946898114e-06,0.6000221131758895,0.41226831516848234,15.8,21.3,0
2026-07-21T11:55:48.684593,17,0.25,0.0,0.6,0.2495720651955411,9.064721652282143e-06,0.600022108662043,0.4243717200296763,5.9,21.3,0
2026-07-21T11:55:49.926781,18,0.25,0.0,0.6,0.24957210411494513,9.030932441771222e-06,0.6000220819697512,0.5100380327975078,9.2,21.3,0
2026-07-21T11:55:51.172159,19,0.25,0.0,0.6,0.24957210871962385,9.035723891769162e-06,0.6000220774320754,0.5996609350047631,5.0,21.3,0
2026-07-21T11:55:52.417395,20,0.25,0.0,0.6,0.249572199447788,8.98262999334623e-06,0.6000220273578839,0.6322755888554377,11.1,21.4,0
2026-07-21T11:55:53.670327,21,0.25,0.0,0.6,0.24957219894769164,8.982206253792955e-06,0.600022027869231,0.5098731042811044,7.5,21.4,0
2026-07-21T11:55:54.914695,22,0.25,0.0,0.6,0.24957211185399336,9.070701345756242e-06,0.6000220825391679,0.40032002682590273,6.8,21.3,0
