timestamp,cycle,target_x,target_y,target_z,current_x,current_y,current_z,error_mm,cpu_percent,mem_percent,collisions,latency_ms,disturbances
2026-07-22T11:01:58.442984,1,0.25,0.0,0.6,0.20013792178787038,-0.007441823903536341,0.498857441615023,112.90397055869784,8.4,26.5,0,8.514104843569912,1
2026-07-22T11:02:00.477630,2,0.25,0.0,0.6,0.20010392770879434,-0.007196538009108803,0.49890281359421557,112.92829711648753,7.4,26.5,0,7.805396878401023,2
2026-07-22T11:02:02.513265,3,0.25,0.0,0.6,0.20010392868849586,-0.007196544096364124,0.4989028319462067,113.00981716653021,5.8,26.5,0,7.150420377205973,3
2026-07-22T11:02:04.551698,4,0.25,0.0,0.6,0.2001039272755919,-0.007196500661663816,0.4989028093074697,112.83753312664702,7.5,26.4,0,8.155656952568666,4
2026-07-22T11:02:06.589750,5,0.25,0.0,0.6,0.2001039269718875,-0.007196532732650121,0.49890282994360247,112.8316631401348,5.0,26.3,0,7.524525562054933,5
2026-07-22T11:02:08.624583,6,0.25,0.0,0.6,0.20010392828186344,-0.007196476003423782,0.49890281051454627,113.20059568370301,9.8,26.3,0,7.411230161504286,6
2026-07-22T11:02:10.659680,7,0.25,0.0,0.6,0.200103926988074,-0.00719653306111236,0.49890282901154936,113.02192973304442,12.0,26.3,0,7.757487119364046,7
2026-07-22T11:02:12.695551,8,0.25,0.0,0.6,0.2001039280935003,-0.007196484806490976,0.498902809869406,112.97708729424266,6.2,26.3,0,8.174426050379521,8
2026-07-22T11:02:14.736661,9,0.25,0.0,0.6,0.20010392697020002,-0.007196532790129359,0.4989028295791337,113.01564310947174,6.5,26.3,0,7.875306203707584,9
2026-07-22T11:02:16.777603,10,0.25,0.0,0.6,0.20010392776832525,-0.007196488882806116,0.4989028095095978,112.87535889203467,7.7,26.3,0,7.987154612757895,10
2026-07-22T11:02:18.811725,11,0.25,0.0,0.6,0.20010392702553953,-0.007196533259854102,0.4989028294238391,113.05956561859836,8.1,26.3,0,7.8576384921857345,11
2026-07-22T11:02:20.853787,12,0.25,0.0,0.6,0.20010392827534054,-0.007196476005782177,0.49890281050849505,112.87498693532393,9.8,26.3,0,7.619501951170257,12
2026-07-22T11:02:22.895580,13,0.25,0.0,0.6,0.20010392702624732,-0.007196533268665812,0.4989028294395826,113.05964015530903,7.4,26.3,0,7.836276990863514,13
2026-07-22T11:02:24.940125,14,0.25,0.0,0.6,0.2001039277632054,-0.0071964888896024655,0.4989028095581786,112.96861974664837,9.1,26.3,0,7.8325407511774765,14
2026-07-22T11:02:26.980582,15,0.25,0.0,0.6,0.20010392702462415,-0.007196533273233095,0.49890282929444507,112.87336220320097,7.3,26.3,0,7.916031906108505,15
2026-07-22T11:02:29.019331,16,0.25,0.0,0.6,0.20010392807148922,-0.007196484757692228,0.49890280964462325,112.78300625251242,5.8,26.3,0,7.9890415880095516,16
2026-07-22T11:02:31.072461,17,0.25,0.0,0.6,0.2001039270318341,-0.007196533246262078,0.4989028297792958,113.00697228141871,5.3,26.3,0,7.983363958283705,17
2026-07-22T11:02:33.121783,18,0.25,0.0,0.6,0.20010392776561187,-0.007196488921112208,0.4989028094771203,113.05810055837628,9.6,26.3,0,7.817621516156832,18
2026-07-22T11:02:35.162062,19,0.25,0.0,0.6,0.2001039270220789,-0.0071965332827654575,0.4989028293807486,112.84137581828062,5.6,26.3,0,7.8409646576598675,19
2026-07-22T11:02:37.202188,20,0.25,0.0,0.6,0.20010392776454006,-0.007196488900748633,0.498902809480357,113.10250990853218,4.9,26.3,0,7.8626805412572,20
2026-07-22T11:02:39.230478,21,0.25,0.0,0.6,0.20010392698788593,-0.0071965331315281275,0.4989028290030569,112.96864300958066,5.0,26.3,0,7.837837864839592,21
2026-07-22T11:02:41.276397,22,0.25,0.0,0.6,0.20010392775937264,-0.007196488911502362,0.4989028095103467,113.19237431779347,9.6,26.3,0,8.046739877084363,22
2026-07-22T11:02:43.312091,23,0.25,0.0,0.6,0.20010392704617108,-0.0071965334125057845,0.49890282962680854,112.88014727017884,6.7,26.3,0,7.939252021181583,23
2026-07-22T11:02:45.356979,24,0.25,0.0,0.6,0.2001039275971508,-0.007196493463879193,0.49890280928933534,112.96931237421536,6.3,26.3,0,8.056208451678444,24
2026-07-22T11:02:47.398051,25,0.25,0.0,0.6,0.20010392702082927,-0.0071965332412369555,0.49890282949041853,113.09537893628548,10.8,26.3,0,7.990388889159261,25
2026-07-22T11:02:49.442661,26,0.25,0.0,0.6,0.20010392816210906,-0.007196475244482679,0.4989028106364548,112.97405335236252,9.2,26.3,0,8.001959802962524,26
2026-07-22T11:02:51.484752,27,0.25,0.0,0.6,0.20010392697639423,-0.007196533083671398,0.49890282983239403,112.92324281897146,6.6,26.3,0,7.923881318347911,27
2026-07-22T11:02:53.519921,28,0.25,0.0,0.6,0.2001039275993363,-0.0071964934625617875,0.4989028092963677,112.9600808353749,9.5,26.3,0,7.88458825485704,28
2026-07-22T11:02:55.555353,29,0.25,0.0,0.6,0.20010392695953336,-0.007196532597143059,0.4989028304208166,113.00442505777697,5.9,26.3,0,7.919201102316927,29
2026-07-22T11:02:57.596357,30,0.25,0.0,0.6,0.20010392757925394,-0.007196493359902795,0.49890280930558384,112.86506498287616,9.4,26.3,0,7.922405744570608,30
2026-07-22T11:02:59.633332,31,0.25,0.0,0.6,0.20010390552764767,-0.0071964879983169,0.49890281687123983,112.92864971699765,7.1,26.3,0,7.890385072897215,31
2026-07-22T11:03:01.663590,32,0.25,0.0,0.6,0.20010390593746577,-0.007196503956078759,0.49890282194175156,113.14487459309446,7.7,26.3,0,7.991672471642801,32
2026-07-22T11:03:03.703013,33,0.25,0.0,0.6,0.20010390586641166,-0.007196502906616535,0.4989028234033689,112.97330574749661,7.8,26.3,0,8.115914505024877,33
2026-07-22T11:03:05.753809,34,0.25,0.0,0.6,0.2001039057979033,-0.007196502429324585,0.49890282349030624,113.05801556947323,5.3,26.3,0,8.083873699774538,34
2026-07-22T11:03:07.793633,35,0.25,0.0,0.6,0.20010390579351717,-0.007196502313327821,0.4989028238696796,112.8825339177266,8.0,26.3,0,7.995763022638122,35
2026-07-22T11:03:09.839133,36,0.25,0.0,0.6,0.20010390585326235,-0.0071965029273421965,0.49890282298403854,112.87653273570697,8.7,26.3,0,8.104163784309103,36
2026-07-22T11:03:11.872436,37,0.25,0.0,0.6,0.20010390577657616,-0.007196502121005069,0.49890282340717823,113.02357158119153,7.5,26.3,0,8.15142753436922,37
2026-07-22T11:03:13.915611,38,0.25,0.0,0.6,0.20010390636109648,-0.007196508256725345,0.4989028139526139,112.83246060553697,6.9,26.3,0,8.165307462635731,38
2026-07-22T11:03:15.949902,39,0.25,0.0,0.6,0.2001039066255964,-0.0071965101289216795,0.49890281214090626,113.00980636452229,7.7,26.3,0,8.226253535330455,39
2026-07-22T11:03:17.986495,40,0.25,0.0,0.6,0.20010390684024223,-0.007196511404599346,0.4989028113793359,112.78029905810011,4.7,26.3,0,8.145597196947193,40
2026-07-22T11:03:20.031654,41,0.25,0.0,0.6,0.20010390711845558,-0.0071965133930313825,0.49890281034495476,112.91496133531106,7.8,26.3,0,8.239004996644642,41
2026-07-22T11:03:22.066116,42,0.25,0.0,0.6,0.2001039069694833,-0.007196512484417777,0.4989028106727409,112.9339350567613,5.6,26.3,0,8.165136025632048,42
2026-07-22T11:03:24.095357,43,0.25,0.0,0.6,0.20010390701640457,-0.007196512657179251,0.49890281047222873,112.96505044093948,10.8,26.3,0,8.108887786105912,43
2026-07-22T11:03:26.130006,44,0.25,0.0,0.6,0.2001039069677989,-0.007196512481755716,0.4989028106719886,113.09923326266723,10.6,26.3,0,8.158911520053334,44
2026-07-22T11:03:28.171260,45,0.25,0.0,0.6,0.20010390696630947,-0.007196512479243213,0.4989028106720835,113.06219823129885,6.3,26.3,0,8.183679235878133,45
2026-07-22T11:03:32.747286,47,0.25,0.0,0.6,0.20010390696455366,-0.007196512478810124,0.49890281067055625,113.13260321661387,10.6,26.3,0,8.105188485531839,47
2026-07-22T11:03:34.795291,48,0.25,0.0,0.6,0.20010390696487879,-0.007196512483070064,0.49890281066768327,113.05498648111691,7.6,26.3,0,8.136619558980675,48
