test_id,mass_offset,damping_offset,friction_coeff,delay_steps,final_error_mm,passed
1,0.10195489377681277,-0.10691530972700256,0.020272673832002066,3,150.14407317864232,0
2,-0.1813468718351841,0.1493923868337172,0.02026565290322013,3,148.49738475852894,0
3,0.03751026656175385,0.23603546598215702,0.007375545572111036,2,148.4671122882327,0
4,-0.07257179935196353,-0.02631355666257096,0.008621370814626883,1,148.34268991064798,0
5,-0.008441996484546799,0.11865563166156229,0.04837537212703309,2,148.4057636155062,0
6,0.19810079468756076,-0.28968826645486007,0.025735342684553103,5,163.77542367591883,0
7,-0.12470588038118541,0.15087327786619964,0.023884538764618504,2,163.0532754168493,0
8,-0.05766745184116914,0.2091193367266267,0.005665975805089324,0,128.20661596589719,0
9,0.028578867539863217,-0.23480345200180838,0.020439623565642096,3,163.42444562032787,0
10,0.05273487687445111,0.07398656158721784,0.026280013741821675,4,163.29740565878106,0
11,0.09293736280513937,0.2454359611519375,0.011829950829436343,2,163.32406442717505,0
12,0.1758253412052701,0.086900772908724,0.036218760832915774,2,163.39065643596956,0
13,-0.11868929414470641,-0.15101243356259433,0.0367718733548553,2,163.03885457513246,0
14,0.1926937777005297,-0.11582838240309082,0.001108700859709455,5,163.3770027734325,0
15,-0.1165891479037652,0.16794608711792175,0.013315232521323512,3,163.0417972810525,0
16,0.07651695838232564,-0.1353949166272885,0.04579206031919324,2,163.3047555764513,0
17,-0.00317497334014899,0.03210555411889404,0.017517253608006683,5,163.17327243912567,0
18,0.1579541004882406,0.10198832735243951,0.032365901610118,3,163.41390874684353,0
19,0.03511850248230047,-0.08748285110216739,0.03530945336320072,5,163.27754461514667,0
20,0.15627139028706521,0.04662728214587669,0.04103013390000788,1,163.40705023956642,0
21,-0.19435287963369086,0.06424677516787403,0.01262688897613582,4,162.95196823458818,0
22,0.17749664010540783,0.14447398922465443,0.044258379144966824,0,128.38484200485217,0
23,0.16307815590138997,0.021583117745327673,0.00454590980862733,5,165.67639074376555,0
24,-0.10940861126471431,-0.10091427209376949,0.03630457961516865,5,163.05686812608923,0
25,-0.19972548717823943,-0.11060457021161377,0.030843607381240448,2,162.93572192336342,0
26,0.14711620275594645,-0.17041714461360136,0.042067058598938584,0,128.35705928485046,0
27,0.018607624538601042,0.23571779803543397,0.02961059513978358,5,163.34046915837624,0
28,0.005159026103190273,0.17221178093608885,0.04391894923018152,4,163.21837457832189,0
29,-0.0031294742445072132,0.005338734372278164,0.009308475928730414,1,163.15845797845273,0
30,-0.09603283376154895,-0.21797457901407621,0.03836008807527368,1,163.08202471715884,0
31,0.18122658542463088,-0.12064768420669392,0.010794399868553428,0,128.38213559509066,0
32,0.05835857375311282,-0.17951263875716306,0.0379403894893185,2,163.74132617598127,0
33,0.0015784727946876465,0.20476720481680016,0.01045225412724518,3,163.18523077978705,0
34,0.10994171441900086,0.09271103592776281,0.013167494194415414,2,163.3039070563601,0
35,0.03878951104645695,-0.1786468523660054,0.02794008590040289,5,163.26458521601285,0
36,0.16899900706310073,0.06570277719864492,0.030877765572874034,3,163.3952866201132,0
37,0.1303474837094895,0.04047210842752885,0.03538858694942652,0,128.3534573142227,0
38,0.01083814258351698,0.038901885170360084,0.018017609369018434,1,163.6089742471625,0
39,0.060011196213045515,-0.29702962805004235,0.03330046168437169,4,163.26228721810259,0
40,0.18473692810115788,0.13782707306964725,0.0011032890481985746,4,163.46484022726023,0
41,-0.039952875451771425,-0.16478760650345928,0.03323674497574766,1,163.15817773319694,0
42,-0.18882796442814398,0.1197773933541979,0.01686737303099516,0,128.11855020643972,0
43,0.15052429750097457,-0.06074116478609548,0.0211348358564893,4,164.24856369654069,0
44,-0.054011199969058454,0.004824794744413996,0.02231530215829631,4,163.113284022675,0
45,0.13884367700526196,0.11779890738226306,0.0020730766704700645,2,163.39467851409387,0
46,-0.09508188608710784,-0.16234717367425985,0.04626930245914911,2,163.07452923588662,0
47,-0.14626474892895935,0.05646706228276244,0.021662052090999202,4,162.99242558354513,0
48,-0.08307118029879589,0.07783282833047078,0.01167871707013778,2,163.08721890240008,0
49,-0.1674087808362682,0.04438611574197626,0.04117407572430356,5,162.9921456966644,0
50,-0.039154949595415545,0.22133101779416925,0.026659987692435463,1,163.12539232170516,0
