step,target_x,target_y,target_z,actual_x,actual_y,actual_z,error_x,error_y,error_z,error_mag
0,0.0,0.0,0.6,1.1347717348277992e-06,2.628213626403706e-07,0.6000000950800609,1.1347717348277992e-06,2.628213626403706e-07,9.508006093561505e-08,1.16868395078043e-06
1,-0.004305547225401213,-0.009024696874909624,0.5998691970725238,-0.004304747604574617,-0.009024464942707169,0.5998693741442094,7.996208265959731e-07,2.3193220245569524e-07,1.7707168553648955e-07,8.511993859729403e-07
2,-0.008611094450802426,-0.01804939374981925,0.5997383941450476,-0.008463467283300262,-0.018024276174264164,0.5996944429234267,0.00014762716750216405,2.5117575555084343e-05,-4.395122162093035e-05,0.00015606531667365913
3,-0.012916641676203641,-0.027074090624728875,0.5996075912175715,-0.01119290583627371,-0.026718266222068406,0.5991567067125401,0.0017237358399299317,0.0003558244026604686,-0.0004508845050313903,0.0018169130656872463
4,-0.014036409024637082,-0.036709565330966816,0.6020373542247043,-0.008318789044235305,-0.032823743844806,0.6018777187820964,0.005717619980401777,0.0038858214861608176,-0.0001596354426078861,0.006914930971248759
5,-0.015156176373070523,-0.04634504003720476,0.6044671172318371,-0.006739371643398057,-0.04033989027500921,0.6041044431479676,0.008416804729672465,0.006005149762195544,-0.0003626740838694742,0.010345818383044646
6,-0.016275943721503965,-0.0559805147434427,0.6068968802389699,-0.014296144112651296,-0.0526433353450349,0.605110626194884,0.0019797996088526688,0.0033371793984077955,-0.0017862540440859442,0.004271659670243404
7,-0.016348102096973734,-0.0630095652234657,0.5997844093238703,-0.01661016580265588,-0.06079538757096835,0.5978192980256367,-0.00026206370568214454,0.0022141776524973455,-0.001965111298233624,0.0029720232968635948
8,-0.0164202604724435,-0.07003861570348868,0.5926719384087706,-0.017923608432544647,-0.06850973436119588,0.5906461091414835,-0.0015033479601011465,0.001528881342292801,-0.002025829267287116,0.002949833464476998
9,-0.01649241884791327,-0.07706766618351167,0.585559467493671,-0.019686269432216897,-0.076595644283237,0.5833510731352664,-0.003193850584303628,0.0004720219002746773,-0.0022083943584046972,0.003911584317310473
10,-0.008047370990742406,-0.08044338731040865,0.581401863187882,-0.011393788831966503,-0.0796030222921058,0.5789395550470299,-0.0033464178412240964,0.0008403650183028549,-0.002462308140852132,0.004238830866236206
11,0.00039767686642845634,-0.08381910843730564,0.5772442588820931,-0.0051578011285634395,-0.08429076149577587,0.5741661114451407,-0.005555477994991896,-0.0004716530584702311,-0.0030781474369523387,0.006368734882535129
