point_x,point_y,point_z,reachable,error_mm
0.1,-0.4,0.4214285714285714,1,0.0469110781445927
0.1,-0.4,0.5142857142857142,1,0.0428062020633019
0.1,-0.4,0.6071428571428571,1,0.04181800047333869
0.1,-0.4,0.7,1,0.04437389743169717
0.1,-0.2857142857142857,0.3285714285714285,1,0.00561532839944627
0.1,-0.2857142857142857,0.4214285714285714,1,0.01840300462182914
0.1,-0.2857142857142857,0.5142857142857142,1,0.023615951791974163
0.1,-0.2857142857142857,0.6071428571428571,1,0.012316011439074633
0.1,-0.2857142857142857,0.7,1,0.019287206580285814
0.1,-0.17142857142857143,0.3285714285714285,1,0.019028000550303174
0.1,-0.17142857142857143,0.4214285714285714,1,0.021411673712007657
0.1,-0.17142857142857143,0.5142857142857142,1,0.014415288499024303
0.1,-0.17142857142857143,0.6071428571428571,1,0.03738289546913674
0.1,-0.17142857142857143,0.7,1,0.008886940711139468
0.1,-0.05714285714285716,0.3285714285714285,1,0.022753977826143693
0.1,-0.05714285714285716,0.4214285714285714,1,0.006740487772622963
0.1,-0.05714285714285716,0.5142857142857142,1,0.012506399955808406
0.1,-0.05714285714285716,0.6071428571428571,1,0.02541755401213234
0.1,-0.05714285714285716,0.7,1,0.02044934639938341
0.1,0.05714285714285716,0.3285714285714285,1,0.003994656080738007
0.1,0.05714285714285716,0.4214285714285714,1,0.0043114004272853295
0.1,0.05714285714285716,0.5142857142857142,1,0.010107165964085405
0.1,0.05714285714285716,0.6071428571428571,1,0.01523712421023547
0.1,0.05714285714285716,0.7,1,0.014072079803599298
0.1,0.17142857142857149,0.3285714285714285,1,0.02012904833631554
0.1,0.17142857142857149,0.4214285714285714,1,0.00268134192814493
0.1,0.17142857142857149,0.5142857142857142,1,0.003995755072485528
0.1,0.17142857142857149,0.6071428571428571,1,0.008408859429990772
0.1,0.17142857142857149,0.7,1,0.012113634014583163
0.1,0.2857142857142857,0.3285714285714285,1,0.0059558244869389815
0.1,0.2857142857142857,0.4214285714285714,1,0.0038918633248193795
0.1,0.2857142857142857,0.5142857142857142,1,0.005512810063266766
0.1,0.2857142857142857,0.6071428571428571,1,1.3973314683295992
0.1,0.2857142857142857,0.7,1,0.011075852365147148
0.1,0.4,0.3285714285714285,1,0.045013458631553094
0.1,0.4,0.4214285714285714,1,0.004635352691388649
0.1,0.4,0.5142857142857142,1,0.0062087747754454355
0.1,0.4,0.6071428571428571,1,0.0070543769783634365
0.1,0.4,0.7,1,0.007726240985015968
0.17142857142857143,-0.4,0.3285714285714285,1,0.022378397119011496
0.17142857142857143,-0.4,0.4214285714285714,1,0.027019447160249177
